agency_code,pct_met_4 Year Graduation Rate_LTG,pct_met_EL Progress_LTG,pct_met_Math Grade 11_LTG,pct_met_Math Grades 3-8_LTG,pct_met_Reading Grade 10_LTG,pct_met_Reading Grades 3-8_LTG,pct_met_Total Targets_LTG
760354,50.0,,100.0,,66.7,,71.4
760356,,,,0.0,,0.0,0.0
760357,,,,66.7,,66.7,66.7
760358,75.0,100.0,0.0,,75.0,,53.8
760359,,100.0,,33.3,,33.3,38.5
760360,,,,33.3,,100.0,66.7
760364,,,,100.0,,33.3,66.7
760368,,,,100.0,,0.0,50.0
760376,,,,100.0,,33.3,66.7
760378,,,,0.0,,80.0,40.0
760380,66.7,,33.3,,33.3,,44.4
760382,,,,0.0,,0.0,0.0
760388,0.0,,100.0,,0.0,,33.3
761304,20.0,100.0,50.0,,100.0,,58.8
761308,,,,85.7,,85.7,85.7
761312,,100.0,,83.3,,83.3,84.6
761320,,100.0,,0.0,,100.0,54.5
761321,,100.0,,100.0,,0.0,55.6
761328,,100.0,,100.0,,83.3,92.3
761332,,0.0,,28.6,,57.1,40.0
761336,,0.0,,14.3,,14.3,13.3
76A000,50.0,,0.0,66.7,0.0,0.0,25.0
770310,,100.0,,16.7,,16.7,23.1
770316,,,,50.0,,83.3,66.7
770318,,,,100.0,,25.0,62.5
770328,,,,50.0,,50.0,50.0
770340,,,,0.0,,0.0,0.0
770342,0.0,,,,,,0.0
770344,,100.0,,100.0,,85.7,93.3
770346,,,,20.0,,0.0,10.0
770348,0.0,,66.7,,0.0,,22.2
770349,100.0,,100.0,,100.0,,100.0
770360,,,,50.0,,66.7,58.3
770364,,,,40.0,,20.0,30.0
770368,,,,20.0,,60.0,40.0
770370,,,,0.0,,50.0,25.0
780320,,,,0.0,,100.0,50.0
780322,,100.0,,100.0,,20.0,63.6
780324,,,,100.0,,80.0,90.0
780325,20.0,,60.0,,40.0,,40.0
780326,,,,50.0,,50.0,50.0
780328,,,,100.0,,0.0,50.0
780329,,100.0,,66.7,,66.7,71.4
780330,,,,14.3,,42.9,28.6
780336,,100.0,,88.9,,100.0,94.7
780340,,,,83.3,,50.0,66.7
780341,,,,0.0,,57.1,28.6
780342,85.7,100.0,0.0,,0.0,,31.8
780344,,100.0,,75.0,,62.5,70.6
780352,,,,33.3,,16.7,25.0
780356,,,,75.0,,0.0,37.5
780360,,,,33.3,,0.0,16.7
780364,,,,0.0,,50.0,25.0
780368,,,,66.7,,83.3,75.0
780374,,100.0,,16.7,,66.7,46.2
780376,,100.0,,0.0,,0.0,6.7
780384,,,,75.0,,0.0,37.5
780385,,,0.0,,0.0,,0.0
780390,,,,100.0,,0.0,50.0
780391,20.0,100.0,100.0,,20.0,,46.7
780392,,100.0,,80.0,,0.0,45.5
780393,,0.0,,0.0,,87.5,41.2
780394,,,,80.0,,60.0,70.0
780396,,,,0.0,,0.0,0.0
780398,,100.0,,0.0,,0.0,14.3
780400,,100.0,,25.0,,50.0,41.2
