agency_code,pct_enrolled_ENROLL_ALL_COLLEGE,pct_enrolled_ENROLL_AM7_COLLEGE,pct_enrolled_ENROLL_AS7_COLLEGE,pct_enrolled_ENROLL_BL7_COLLEGE,pct_enrolled_ENROLL_EDS_COLLEGE,pct_enrolled_ENROLL_FEM_COLLEGE,pct_enrolled_ENROLL_HI7_COLLEGE,pct_enrolled_ENROLL_MALE_COLLEGE,pct_enrolled_ENROLL_MU7_COLLEGE,pct_enrolled_ENROLL_PI7_COLLEGE,pct_enrolled_ENROLL_SWD_COLLEGE,pct_enrolled_ENROLL_WH7_COLLEGE
380308,0.58,0.09,,,0.23,0.33,,0.25,,,,0.47
380LEA,0.58,0.09,,,0.23,0.33,,0.25,,,,0.47
390322,0.4625,,,0.13125,0.15625,0.3,,0.1625,,,,0.25
390323,0.75,,,0.166666667,0.222222222,0.4166666670000001,0.083333333,0.333333333,0.083333333,,,0.4166666670000001
390324,0.447552448,,,0.223776224,0.230769231,0.202797203,,0.244755245,,,,0.202797203
390352,0.60619469,,,0.168141593,0.15486725699999998,0.345132743,,0.261061947,,,,0.362831858
390700,0.786516854,,,0.112359551,0.157303371,0.539325843,,0.247191011,,,,0.606741573
390LEA,0.56880734,,,0.163608563,0.17584097899999998,0.333333333,,0.235474006,,,,0.336391437
39B000,0.8,,,0.177777778,0.133333333,0.4,,0.4,,,,0.577777778
400308,0.470319635,,,0.228310502,,0.269406393,0.063926941,0.200913242,,,,0.168949772
400315,0.666666667,,,0.133333333,,0.4,0.2,0.266666667,,,,0.333333333
400LEA,0.493975904,,,0.21686747,,0.285140562,0.080321285,0.208835341,,,,0.18875502
410319,0.601809955,,,0.4751131220000001,,0.36199095,,0.239819005,,,,
410326,0.95,,,0.913043478,,0.95,,,,,,
410355,0.493865031,,,0.444785276,,0.27607362,,0.217791411,,,,
410358,0.460207613,,,0.207612457,0.207612457,0.245674741,,0.214532872,,,,0.166089965
410390,0.735294118,,,0.35294117700000005,0.073529412,0.5,,0.235294118,0.05882352900000001,,,0.264705882
410391,0.95,,0.069767442,0.255813954,0.186046512,0.627906977,0.162790698,0.325581395,,,,0.418604651
410394,0.6756756759999999,,0.051351351,0.183783784,0.162162162,0.389189189,,0.286486487,,,,0.3972972970000001
410395,0.934782609,,0.347826087,0.065217391,0.108695652,0.456521739,,0.47826087,,,,0.434782609
410399,0.727272727,,,0.681818182,0.409090909,0.545454546,,0.181818182,,,,
410401,0.7551020409999999,,,0.183673469,0.204081633,0.489795918,,0.265306123,0.06122449,,,0.469387755
410406,0.589665654,,0.07902735599999999,0.221884499,0.258358663,0.32218845,,0.267477204,,,,0.221884499
410407,0.540540541,,0.162162162,0.162162162,,0.405405405,0.135135135,0.135135135,,,,0.054054054
410408,0.636363636,,,0.303030303,0.303030303,0.363636364,0.121212121,0.272727273,,,0.090909091,0.181818182
410483,0.806451613,,,0.806451613,0.483870968,,,0.806451613,,,,
410484,0.436781609,,,0.233716475,0.233716475,0.26436781600000003,,0.172413793,,,,0.149425287
410489,0.785046729,,,0.118380062,0.08411215,0.398753894,0.052959502,0.386292835,,,,0.5732087229999999
410490,0.815109344,,0.057654076,0.059642147,0.083499006,0.4055666,,0.409542744,,,,0.628230616
