agency_code,esea_att
470332,Met
470336,Met
470340,Met
470342,Did Not Meet
470346,Met
470441,Met
470442,Met
470443,Did Not Meet
470LEA,Met
480306,Met
480316,Did Not Meet
480318,Did Not Meet
480LEA,Met
490308,Met
490310,Did Not Meet
490312,Met
490316,Met
490318,Met
490319,Met
490320,Did Not Meet
490324,Met
490326,Met
490327,Met
490332,Met
490335,Did Not Meet
490336,Met
490337,Met
490338,Met
490342,Did Not Meet
490344,Met
490345,Met
490346,Did Not Meet
490347,Met
490348,Met
490349,Met
490350,Did Not Meet
490352,Met
490354,Did Not Meet
490355,Did Not Meet
490356,Met
490360,Met
490362,Did Not Meet
490363,Met
490364,Met
490366,Met
490368,Met
490380,Did Not Meet
490384,Met
490390,Met
490LEA,Met
491303,Met
491305,Did Not Meet
491306,Met
491308,Met
491312,Did Not Meet
491316,Met
491318,Met
491320,Met
491LEA,Met
49B000,Met
49D000,Met
49E000,Did Not Meet
49F000,Met
500302,Did Not Meet
500304,Met
500314,Met
500316,Met
500323,Did Not Meet
500324,Did Not Meet
500332,Met
500337,Met
500340,Did Not Meet
500LEA,Met
50A000,Met
510308,Met
510310,Met
510324,Did Not Meet
510326,Met
510327,Did Not Meet
510328,Met
510329,Met
510330,Met
510332,Met
510333,Did Not Meet
510334,Met
510336,Met
510340,Met
510342,Met
510344,Met
510356,Met
510357,Did Not Meet
510358,Met
510359,Met
510360,Met
510364,Met
510367,Did Not Meet
510368,Did Not Meet
510372,Met
510373,Met
510374,Met
510376,Did Not Meet
510377,Met
510378,Met
510379,Met
510380,Did Not Meet
510381,Did Not Meet
510388,Met
510390,Met
510396,Met
510397,Met
510399,Did Not Meet
510402,Did Not Meet
510404,Met
510406,Did Not Meet
510408,Met
510410,Met
510412,Met
510414,Met
510LEA,Met
51A000,Did Not Meet
520304,Met
520308,Met
520320,Did Not Meet
520324,Met
520328,Met
520336,Met
520LEA,Met
530302,Met
530306,Did Not Meet
530308,Met
530312,Met
530314,Met
530316,Met
530320,Met
530335,Did Not Meet
530336,Did Not Meet
530340,Met
530341,Met
530343,Did Not Meet
530346,Met
530354,Met
530356,Met
530358,Did Not Meet
530LEA,Met
540304,Met
540308,Met
540312,Met
540315,Did Not Meet
540316,Met
540317,Did Not Meet
540318,Did Not Meet
540320,Met
540324,Did Not Meet
540325,Met
540326,Met
540328,Met
540330,Met
540336,Did Not Meet
540338,Met
540340,Met
540344,Met
540LEA,Met
54A000,Met
550308,Did Not Meet
550312,Met
550314,Met
550316,Met
550320,Did Not Meet
550322,Met
550324,Met
550328,Met
550330,Did Not Meet
550332,Did Not Meet
550334,Met
550336,Met
550340,Met
550342,Met
550344,Did Not Meet
550348,Did Not Meet
550349,Met
550350,Met
550356,Met
550360,Met
550362,Met
550364,Met
550368,Did Not Meet
550372,Met
550LEA,Met
55A000,Did Not Meet
560304,Met
560316,Met
560320,Did Not Meet
560324,Did Not Meet
560328,Met
560329,Did Not Meet
560330,Met
560331,Met
560332,Did Not Meet
560338,Met
560350,Did Not Meet
560LEA,Met
570306,Met
570312,Met
570316,Did Not Meet
570317,Did Not Meet
570318,Did Not Meet
570319,Met
570320,Met
570LEA,Met
580308,Did Not Meet
580312,Met
580316,Met
580320,Met
580324,Met
580344,Did Not Meet
580350,Met
580356,Met
580368,Did Not Meet
