agency_code,stu_enroll,cte_enroll,cte_enrollment_pct
490362,1621,961,59.28
490366,383,291,75.98
490380,833,608,72.99
490384,615,269,43.74
491308,951,774,81.39
491312,1892,1305,68.97
49E000,1120,178,15.89
49F000,695,76,10.94
500302,168,95,56.55
500304,164,108,65.85
500314,258,170,65.89
500323,127,39,30.71
500324,134,73,54.48
500332,122,117,95.9
500337,107,103,96.26
500340,894,569,63.65
510310,363,206,56.75
510324,1802,1313,72.86
510325,123,27,21.95
510327,1671,1158,69.3
510329,1014,857,84.52
510333,1895,1409,74.35
510342,507,415,81.85
510344,654,412,63.0
510359,720,663,92.08
510360,203,161,79.31
510364,1127,793,70.36
510368,789,574,72.75
510376,996,840,84.34
510379,1276,886,69.44
510382,98,2,2.04
510390,362,301,83.15
510397,612,556,90.85
510399,1346,775,57.58
510402,1245,861,69.16
510406,1422,1071,75.32
510411,643,472,73.41
510412,593,480,80.94
51A000,461,90,19.52
520320,324,262,80.86
520324,166,162,97.59
530306,87,44,50.57
530314,624,408,65.38
530335,296,54,18.24
530336,1468,1168,79.56
530341,879,763,86.8
530343,1140,872,76.49
530356,661,443,67.02
540308,336,313,93.15
540312,508,270,53.15
540315,694,571,82.28
540317,198,39,19.7
540318,102,19,18.63
540324,865,724,83.7
540330,464,252,54.31
540336,725,591,81.52
540344,614,495,80.62
550308,75,35,46.67
550320,933,721,77.28
550322,690,435,63.04
550332,842,601,71.38
550334,621,253,40.74
550344,989,723,73.1
550350,717,467,65.13
550368,872,649,74.43
550372,607,372,61.29
55A000,1146,49,4.28
560320,926,730,78.83
560324,189,89,47.09
560329,147,64,43.54
560330,558,450,80.65
560332,44,40,90.91
560350,123,99,80.49
570317,244,54,22.13
570318,536,420,78.36
570319,508,323,63.58
580344,244,195,79.92
580350,215,159,73.95
580368,578,453,78.37
580372,472,335,70.97
58B000,402,252,62.69
590310,573,279,48.69
590328,280,96,34.29
590330,1512,1204,79.63
590356,594,380,63.97
590393,284,157,55.28
600301,1139,784,68.83
600302,3189,2103,65.95
600305,895,725,81.01
600311,174,35,20.11
600312,2589,1597,61.68
600313,1613,892,55.3
600317,775,638,82.32
600319,222,92,41.44
