dance_cat,music_cat,theatre_cat,va_cat,agency_code
Y,Y,Y,Y,320369
N,Y,N,Y,320370
Y,Y,N,Y,320372
N,Y,N,Y,320374
N,Y,N,Y,320376
Y,Y,N,Y,320388
N,Y,N,Y,320400
N,Y,Y,Y,320701
N,Y,N,Y,32A000
Y,Y,N,Y,32D000
N,Y,N,Y,32H000
N,Y,N,Y,32K000
Y,Y,Y,Y,32L000
N,N,N,Y,32M000
N,Y,Y,Y,32N000
N,Y,N,Y,32Q000
Y,Y,Y,Y,32R000
N,Y,N,N,32S000
N,Y,N,Y,330304
N,Y,N,Y,330308
N,Y,N,Y,330312
N,Y,N,Y,330326
N,Y,N,Y,330328
N,Y,N,Y,330332
N,Y,N,Y,330334
N,Y,N,Y,330340
N,Y,N,Y,330344
N,Y,N,Y,330348
N,Y,N,Y,330350
N,Y,N,Y,330354
N,Y,N,Y,330358
N,Y,N,Y,330360
N,Y,Y,Y,33A000
N,Y,N,Y,340308
N,Y,Y,Y,340311
N,Y,N,Y,340314
N,Y,N,Y,340320
N,Y,N,Y,340326
Y,Y,Y,Y,340330
N,Y,N,N,340332
N,Y,N,Y,340334
N,Y,N,Y,340336
N,Y,N,Y,340344
N,Y,N,Y,340348
N,Y,N,Y,340350
N,Y,N,Y,340351
Y,Y,Y,Y,340364
N,Y,N,Y,340366
N,Y,N,Y,340368
N,Y,N,Y,340372
N,Y,N,Y,340376
N,Y,N,Y,340380
Y,Y,Y,Y,340382
N,Y,N,Y,340384
N,Y,N,Y,340390
N,Y,N,Y,340392
N,Y,N,Y,340400
N,Y,N,Y,340403
N,Y,Y,Y,340406
N,Y,N,Y,340416
N,Y,N,Y,340420
N,Y,N,Y,340424
N,Y,N,Y,340426
N,Y,N,Y,340427
N,Y,N,Y,340428
N,Y,N,Y,340430
N,Y,N,Y,340432
N,Y,N,Y,340436
N,Y,N,Y,340440
N,Y,N,Y,340442
N,Y,N,Y,340447
N,Y,N,Y,340448
Y,Y,Y,Y,340452
N,Y,N,Y,340453
Y,Y,Y,Y,340454
N,Y,N,Y,340457
Y,Y,Y,Y,340460
N,Y,N,Y,340462
N,Y,Y,Y,340464
N,Y,N,Y,340472
N,Y,N,Y,340476
Y,Y,N,Y,340480
Y,Y,Y,Y,340486
N,N,N,Y,340488
N,Y,N,Y,340490
Y,Y,Y,Y,340492
N,Y,N,Y,340494
Y,Y,Y,Y,340495
Y,Y,Y,Y,340496
N,Y,N,Y,340504
N,Y,N,Y,340508
N,Y,N,Y,340512
N,Y,N,Y,340514
N,Y,N,Y,340516
N,Y,N,Y,340520
N,Y,N,Y,340528
N,Y,N,Y,340530
N,N,N,Y,340531
N,Y,N,Y,340532
N,Y,N,Y,340536
N,Y,N,Y,340540
Y,Y,Y,Y,340542
N,Y,N,Y,340544
N,Y,N,Y,340548
Y,Y,Y,Y,340556
N,Y,N,Y,340560
N,Y,N,Y,340564
Y,Y,Y,Y,340568
N,Y,Y,Y,34B000
N,Y,Y,N,34D000
N,Y,N,Y,34F000
Y,Y,N,Y,34G000
Y,Y,Y,Y,34H000
N,Y,N,Y,350304
N,Y,N,Y,350308
N,Y,N,Y,350310
N,Y,N,Y,350312
N,Y,N,Y,350316
N,Y,N,Y,350317
N,Y,N,Y,350318
N,Y,Y,Y,350321
N,Y,Y,Y,350324
N,Y,N,Y,350330
N,Y,N,Y,350331
N,Y,N,Y,350332
N,Y,N,Y,350336
N,Y,N,Y,350338
N,Y,N,Y,350339
N,Y,N,Y,350340
N,Y,N,Y,35A000
N,Y,N,Y,35B000
N,Y,Y,Y,360310
N,Y,N,Y,360320
N,Y,N,Y,360324
N,Y,N,Y,360332
N,Y,N,Y,360336
N,Y,N,N,360337
N,Y,N,Y,360338
N,Y,N,Y,360339
N,Y,N,Y,360340
N,Y,N,Y,360344
N,Y,N,Y,360348
N,Y,N,Y,360352
N,Y,N,Y,360360
N,Y,N,Y,360364
N,N,N,Y,360372
N,Y,N,Y,360376
N,Y,Y,Y,360378
N,Y,N,Y,360380
Y,Y,Y,Y,360390
N,Y,N,Y,360392
N,Y,N,Y,360394
N,Y,Y,Y,360396
N,Y,N,Y,360400
N,Y,N,Y,360408
N,Y,Y,Y,360418
N,Y,N,Y,360420
N,Y,N,Y,360426
Y,Y,Y,Y,360428
N,Y,N,Y,360430
N,Y,N,Y,360431
N,Y,N,Y,360432
N,Y,N,Y,360436
N,Y,N,Y,360438
N,Y,N,Y,360440
N,Y,N,Y,360448
N,Y,N,Y,360456
N,Y,N,Y,360464
N,Y,N,Y,360468
N,Y,Y,Y,360470
N,Y,N,Y,360478
N,Y,N,Y,360480
N,Y,N,Y,360482
N,Y,N,Y,360488
N,Y,N,Y,360490
N,Y,N,Y,360492
N,Y,Y,Y,360494
N,Y,N,Y,360498
N,Y,N,Y,360499
N,Y,N,Y,360500
N,Y,N,Y,360504
N,Y,N,Y,360510
N,Y,N,Y,360514
N,Y,N,Y,360520
N,Y,N,Y,360526
N,Y,N,Y,360550
Y,Y,Y,Y,36B000
N,Y,Y,Y,36C000
N,Y,N,N,370304
N,Y,N,Y,370308
Y,Y,Y,Y,370312
Y,N,N,N,370316
N,Y,N,N,370324
N,Y,N,Y,380306
N,Y,N,Y,380308
N,Y,N,N,380310
N,Y,N,N,390309
N,N,N,Y,390312
N,Y,N,Y,390314
N,Y,N,Y,390316
N,Y,N,N,390320
Y,Y,N,Y,390322
N,Y,N,N,390323
N,Y,N,Y,390324
N,Y,N,N,390331
N,Y,N,N,390333
N,Y,N,N,390334
N,N,N,Y,390336
N,Y,N,Y,390352
N,Y,N,N,390360
N,Y,N,N,390362
N,Y,N,N,390364
Y,Y,Y,Y,39A000
N,Y,Y,Y,39B000
N,Y,Y,Y,400308
N,Y,N,Y,400312
N,Y,N,Y,400315
N,Y,N,Y,400318
N,Y,N,Y,400321
N,Y,N,Y,400332
N,Y,N,Y,410304
N,Y,N,Y,410307
N,Y,N,Y,410310
N,Y,N,N,410311
N,Y,N,Y,410313
