agency_code,avg_class_teach_TeacherExp,pct_adv_degree_PrincipalExp,pct_adv_degree_TeacherExp,pct_experience_0_PrincipalExp,pct_experience_0_TeacherExp,pct_experience_10_PrincipalExp,pct_experience_10_TeacherExp,pct_experience_4_PrincipalExp,pct_experience_4_TeacherExp,pct_turnover_PrincipalExp,pct_turnover_TeacherExp,total_class_teach_TeacherExp
160344,75.0,,0.24,,0.093,,0.72,,0.187,,0.09,101345.0
160352,51.0,,0.294,,0.078,,0.647,,0.275,,0.103,101345.0
160LEA,31.6,0.17600000000000002,0.18739999999999998,0.47100000000000003,0.09320000000000002,0.23499999999999996,0.6148,0.294,0.2918,0.0,0.1608,101345.0
16B000,16.0,,,,,,,,,,,101345.0
170316,57.0,,0.193,,0.228,,0.509,,0.263,,0.14800000000000002,101345.0
170334,26.0,,0.192,,0.231,,0.6920000000000001,,0.077,,0.309,101345.0
170338,37.0,,0.135,,0.162,,0.568,,0.27,,0.146,101345.0
170339,26.0,,0.192,,0.462,,0.462,,0.077,,0.193,101345.0
170342,20.0,,0.2,,0.381,,0.333,,0.28600000000000003,,0.227,101345.0
170344,15.0,,0.133,,0.25,,0.25,,0.5,,0.2,101345.0
170LEA,38.666666666666664,,0.17066666666666666,0.5,0.24233333333333337,0.16699999999999995,0.5126666666666666,0.333,0.24500000000000002,0.5,0.17966666666666667,101345.0
180302,38.0,,0.263,,0.158,,0.6579999999999999,,0.184,,0.052000000000000005,101345.0
180304,43.0,,0.256,,0.14,,0.5579999999999999,,0.302,,0.107,101345.0
180308,51.0,,0.255,,0.098,,0.745,,0.157,,0.059,101345.0
180312,21.0,,0.048,,0.19,,0.429,,0.381,,0.098,101345.0
180316,38.0,,0.237,,0.211,,0.605,,0.184,,0.081,101345.0
180320,54.0,,0.16699999999999998,,0.185,,0.574,,0.241,,0.093,101345.0
180323,14.0,,0.35700000000000004,,0.14300000000000002,,0.5710000000000001,,0.28600000000000003,,0.235,101345.0
180324,31.0,,0.32299999999999995,,0.097,,0.677,,0.226,,0.083,101345.0
180325,14.0,,0.35700000000000004,,0.14300000000000002,,0.35700000000000004,,0.5,,0.233,101345.0
180326,28.0,,0.214,,0.036000000000000004,,0.7859999999999999,,0.179,,0.036000000000000004,101345.0
180332,29.0,,0.233,,0.241,,0.414,,0.345,,0.071,101345.0
180336,34.0,,0.412,,0.029,,0.735,,0.235,,0.08800000000000001,101345.0
180340,58.0,,0.31,,0.103,,0.759,,0.138,,0.157,101345.0
180342,30.0,,0.3670000000000001,,0.033,,0.733,,0.233,,0.034,101345.0
180343,34.0,,0.314,,0.171,,0.6,,0.229,,0.053,101345.0
180344,32.0,,0.219,,0.063,,0.5,,0.438,,0.111,101345.0
180346,28.0,,0.179,,0.179,,0.536,,0.28600000000000003,,0.073,101345.0
180348,55.0,,0.218,,0.127,,0.7090000000000001,,0.16399999999999998,,0.054000000000000006,101345.0
