agency_code,ccc_pct_COMP1Y_ALL_161,ccc_pct_COMP1Y_AM7_161,ccc_pct_COMP1Y_AS7_161,ccc_pct_COMP1Y_BL7_161,ccc_pct_COMP1Y_EDS_161,ccc_pct_COMP1Y_FEM_161,ccc_pct_COMP1Y_HI7_161,ccc_pct_COMP1Y_MALE_161,ccc_pct_COMP1Y_MU7_161,ccc_pct_COMP1Y_SWD_161,ccc_pct_COMP1Y_WH7_161,ccc_pct_NOCOMP1Y_ALL_161,ccc_pct_NOCOMP1Y_AM7_161,ccc_pct_NOCOMP1Y_AS7_161,ccc_pct_NOCOMP1Y_BL7_161,ccc_pct_NOCOMP1Y_EDS_161,ccc_pct_NOCOMP1Y_ELS_161,ccc_pct_NOCOMP1Y_FEM_161,ccc_pct_NOCOMP1Y_HI7_161,ccc_pct_NOCOMP1Y_MALE_161,ccc_pct_NOCOMP1Y_MU7_161,ccc_pct_NOCOMP1Y_SWD_161,ccc_pct_NOCOMP1Y_WH7_161,ccc_pct_NOINFO_ALL_161,ccc_pct_NOINFO_AM7_161,ccc_pct_NOINFO_AS7_161,ccc_pct_NOINFO_BL7_161,ccc_pct_NOINFO_EDS_161,ccc_pct_NOINFO_ELS_161,ccc_pct_NOINFO_FEM_161,ccc_pct_NOINFO_HI7_161,ccc_pct_NOINFO_MALE_161,ccc_pct_NOINFO_MU7_161,ccc_pct_NOINFO_SWD_161,ccc_pct_NOINFO_WH7_161
650342,62.5,,,7.3863636364,7.1022727273,34.943181818,,27.556818181999997,,,50.0,20.454545455,,,,6.8181818182,,12.215909090999999,,8.2386363636,,,15.909090909000001,17.045454545,,,,,,9.375,,7.670454545499999,,,11.647727273
650352,50.0,,,12.595419847,14.885496182999999,28.244274809,,21.755725191,,,33.969465649,29.007633588,,,12.595419847,14.885496182999999,,13.358778626,,15.648854962,,,13.358778626,20.992366412,,,8.778625954199999,10.687022901,,10.687022901,,10.305343511,,,10.305343511
650355,25.0,,,,12.5,12.5,,12.5,,,25.0,56.25,,,50.0,50.0,,37.5,,18.75,,,6.25,18.75,,,12.5,12.5,,12.5,,6.25,,6.25,6.25
650394,44.444444444,,,22.222222222,22.222222222,29.62962963,,14.814814815,,,18.518518519,44.444444444,,,37.037037037,22.222222222,,29.62962963,,14.814814815,,,,11.111111111,,,,,,7.4074074074,,,,,11.111111111
650LEA,55.012224939,,,8.394458027699999,11.572942135,30.399348003000004,,24.612876936,,,42.461287694,28.280358598000003,,,8.7204563977,12.469437653,,14.425427873,,13.854930725,,,17.522412388,16.707416463,,,,6.5199674002,,8.9649551752,,7.7424612876999985,,,10.350448248
660336,26.086956521999998,,,21.739130435,21.739130435,10.869565217,,15.217391304000001,,,,30.434782609000006,,,17.391304348,21.739130435,,19.565217390999997,,10.869565217,,,10.869565217,43.47826087,,,36.956521739,39.130434783000005,,21.739130435,,21.739130435,,,
660LEA,26.086956521999998,,,21.739130435,21.739130435,10.869565217,,15.217391304000001,,,,30.434782609000006,,,17.391304348,21.739130435,,19.565217390999997,,10.869565217,,,10.869565217,43.47826087,,,36.956521739,39.130434783000005,,21.739130435,,21.739130435,,,
66A000,44.827586206999996,,,39.655172414,32.75862069,27.586206896999997,,17.24137931,,,,25.862068966,,,17.24137931,17.24137931,,12.068965517,,13.793103448,,,8.6206896552,29.310344828,,,24.137931034,22.413793103000003,,15.517241379000001,,13.793103448,,,5.1724137931
670320,43.181818182,,,,,29.545454545,,13.636363635999999,,,36.363636364,25.0,,,,7.954545454500001,,15.909090909000001,,9.0909090909,,5.6818181818,21.590909091,31.818181818000003,,,,12.5,,13.636363635999999,,18.181818182,,,27.272727273
670324,50.943396226000004,,,11.949685535,11.949685535,32.075471698,5.031446540899999,18.867924528,,,28.301886791999998,25.786163522,,,9.4339622642,8.1761006289,,12.578616352000001,,13.20754717,,,11.949685535,23.270440251999997,,,6.9182389937,8.1761006289,,11.949685535,,11.320754717,,,11.320754717
670333,49.606299213,,,21.25984252,16.535433071,32.283464566999996,,17.322834646,7.874015748,,14.960629920999999,22.047244094,,,8.6614173228,5.5118110236,,12.598425197000001,,9.4488188976,,,9.4488188976,28.346456693,,,9.4488188976,12.598425197000001,,13.385826772,5.5118110236,14.960629920999999,,,11.023622047
670340,54.074074073999995,,,7.4074074074,13.333333332999999,30.37037037,,23.703703704000002,,,37.777777778,35.555555556,,,7.4074074074,11.111111111,,14.074074074,,21.481481481,,5.9259259259000014,23.703703704000002,10.37037037,,,,,,,,5.9259259259000014,,,8.8888888889
670344,53.84615384600001,,,5.7692307692,21.153846154,33.653846154,6.7307692308,20.192307692,,,35.576923077,28.846153846,,,,8.6538461538,,14.423076923,,14.423076923,,,19.230769231,17.307692308,,,5.7692307692,9.6153846154,,6.7307692308,,10.576923077,,,9.6153846154
670352,55.244755245,,,,9.0909090909,33.566433566,,21.678321678000003,,,43.356643356999996,27.272727273,,,,7.6923076923,,18.181818182,,9.0909090909,,,20.979020979,17.482517483,,,,,,10.48951049,,6.993006993,,,12.587412587000001
670364,52.830188678999995,,,13.20754717,7.5471698113,30.817610063000004,,22.012578616,,,33.962264151,24.528301886999998,,,6.2893081761000005,6.9182389937,,15.72327044,,8.8050314465,,,14.465408805,22.641509434,,,6.2893081761000005,6.9182389937,,13.20754717,,9.4339622642,,,13.20754717
670LEA,51.803278688999995,,,10.054644809,11.912568305999999,31.803278689000006,,20.0,,,32.786885246,26.994535519,,,6.1202185792,7.9781420765,,14.754098360999999,,12.240437157999999,,,16.93989071,21.202185792,,,,7.5409836065999984,,10.601092896,,10.601092896,,,12.786885245999999
680310,55.428571428999994,,,9.142857142899999,,30.857142857,,24.571428571,,,41.714285714,19.428571429,,,,7.4285714286,,11.428571429000002,,8.0,,,11.428571429000002,25.142857143,,,,,,16.571428571,,8.5714285714,,,18.285714285999997
680332,54.106280193,,,10.628019324,8.6956521739,28.502415459,,25.603864734000002,,,41.54589372,27.053140096999996,,,,8.6956521739,,14.492753622999999,,12.560386473,,,18.84057971,18.84057971,,,,,,12.077294685999998,,6.7632850242,,,13.526570048
680335,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,50.0,,95.0,,,50.0,50.0,50.0
680LEA,54.427083333,,,9.8958333333,6.510416666699999,29.427083333000002,,25.0,,,41.40625,23.4375,,,,8.0729166667,,13.020833332999999,,10.416666667000001,,,15.364583332999999,22.135416666999998,,,,,,14.583333332999999,,7.552083333300001,,,15.885416667000001
681305,53.472222222,,,,,25.0,,28.472222222,,,43.055555556,9.722222222200001,,,,,,,,7.638888888899999,,,5.5555555556,36.805555556,,,,,,18.75,,18.055555555999998,,,25.0
681308,50.883392226000005,,,5.3003533569,,26.501766784,,24.381625441999997,6.360424028300001,,30.035335689,13.074204947,,,,,,6.360424028300001,,6.7137809187,,,7.420494699600001,36.042402827,,5.3003533569,,,,20.494699647,,15.54770318,,,22.96819788
681314,47.53521126800001,,7.3943661972,,,26.408450704,,21.126760563,,,31.338028169,11.61971831,,,,,,5.985915492999999,,5.6338028169,,,5.281690140799999,40.845070423,,5.6338028169,,,,18.661971831,,22.183098591999997,,,26.76056338
681338,,,,,,,,,,,,25.0,,,,,,,,25.0,,,25.0,75.0,,,75.0,75.0,,25.0,,50.0,,,
681LEA,49.79020979,,5.1748251748000005,,,26.013986014,,23.776223776,,,33.006993007,11.888111888,,,,,,5.3146853147,,6.5734265734,,,6.2937062937,38.321678322,,,,,,19.440559440999998,,18.881118881,,,24.755244755
690320,58.88888888899999,,,6.666666666699999,26.666666666999998,37.777777778,,21.111111111,,,47.777777778,25.555555555999998,,,5.5555555556,13.333333332999999,,11.111111111,,14.444444444,,,20.0,15.555555556,,,7.7777777778,10.0,,7.7777777778,,7.7777777778,,,5.5555555556
690LEA,58.88888888899999,,,6.666666666699999,26.666666666999998,37.777777778,,21.111111111,,,47.777777778,25.555555555999998,,,5.5555555556,13.333333332999999,,11.111111111,,14.444444444,,,20.0,15.555555556,,,7.7777777778,10.0,,7.7777777778,,7.7777777778,,,5.5555555556
700310,,,,,,,,,,,,33.333333333,,,33.333333333,33.333333333,,,,33.333333333,,,,66.666666667,,,66.666666667,33.333333333,,,,66.666666667,,,
700317,65.873015873,,,29.365079365,25.396825396999997,41.26984127,,24.603174603000003,,,35.714285714,22.222222222,,,11.904761905,11.111111111,,12.698412698,,9.5238095238,,,6.349206349199999,11.904761905,,,,5.5555555556,,,,8.7301587302,,,6.349206349199999
